,group,mean,std,ci_ub,ci_lb
0,acousticness,0.23761535881958418,0.2343068319937107,0.4719221908132949,0.003308526825873487
1,danceability,0.8130841121495327,0.1212055969460885,0.9342897090956211,0.6918785152034442
2,energy,0.6534357928853342,0.22075126938687126,0.8741870622722054,0.43268452349846287
3,loudness,0.34678191337198233,0.14696306888900007,0.4937449822609824,0.19981884448298226
4,tempo,0.5514360871315975,0.07376723637215728,0.6252033235037548,0.47766885075944027
5,valence,0.7072475143903717,0.24711944404063568,0.9543669584310074,0.460128070349736
