,group,Frank Sinatra,The Beatles
0,acousticness,0.4014084507042254,0.3038229376257545
1,danceability,0.14641744548286603,0.466251298026999
2,energy,0.2130479102956167,0.382262996941896
3,loudness,0.5662903386951743,0.3272055150364672
4,tempo,0.3085231454488105,0.639666032632072
5,valence,0.0646938775510204,0.4755102040816327
