,mean,std,ci_ub,ci_lb
acousticness,0.696359978050119,0.12942476519897914,0.8257847432490981,0.5669352128511398
danceability,0.5333710941187578,0.1190361596017489,0.6524072537205068,0.4143349345170089
energy,0.41034195162635534,0.11741186877015229,0.5277538203965076,0.29293008285620303
loudness,0.41656145832387215,0.05430328422217219,0.4708647425460443,0.36225817410169997
tempo,0.5522257394873792,0.14161121319696923,0.6938369526843484,0.41061452629040995
valence,0.5077922077922078,0.15696204328940325,0.664754251081611,0.3508301645028046
