,group,The Beatles,Frank Sinatra
0,acousticness,0.8762575452716298,0.5845070422535211
1,danceability,0.4164070612668744,0.22533748701973003
2,energy,0.1926605504587156,0.26299694189602446
3,loudness,0.3891497652113099,0.4434675458753789
4,tempo,0.4516731822483058,0.6184465833819215
5,valence,0.3642857142857143,0.06755102040816326
