lyrics,release_date,release_date_for_display,full_title,featured_video,header_image_thumbnail_url,header_image_url,lyrics_state,song_art_image_thumbnail_url,song_art_image_url,title,title_with_featured,featured_artists,artist_name,artist_id
"Love
This is my song
This is my song, my serenade to you
The world
Cannot be wrong
If in this world
There is you
I care not what the world may say
Without your love there is no day
So love
This is my song
This is my song, my serenade to you
I care not what the world may say
Without your love there is no day
So love
This is my song
This is my song
My serenade
To you",,,This Is My Song by Frank Sinatra,False,https://images.genius.com/bef1570c06c09e706cf05ddbe7c48cf2.300x300x1.jpg,https://images.genius.com/bef1570c06c09e706cf05ddbe7c48cf2.640x640x1.jpg,complete,https://images.genius.com/bef1570c06c09e706cf05ddbe7c48cf2.300x300x1.jpg,https://images.genius.com/bef1570c06c09e706cf05ddbe7c48cf2.640x640x1.jpg,This Is My Song,This Is My Song,[],Frank Sinatra,824
"One afternoon I came to hear
You sing a soft song into my ear
Who would have thought quite by chance
We might engage in a loving dance?
Coming together, coming apart
Lost in diversions, dancing stars
Caught in the quiet, off on our own
Coming together, standing alone
Are you afraid?
I'm not afraid
What about you, what about me?
Two years from now where will we be?
Each of us gone our separate ways
Lost in a headlong passage of days
Maybe we might give love a try
Extending the moment before ""goodbye""
And for a gentle moment in time
We'll take what pleasure people can find
Are you afraid?
I'm not afraid
What is for real, what is false?
All of us seem to be caught in a waltz
Turning around, turning again
When will the dancing ever end?
As for us, you and me
Our eyes are open, we can see
Both of us know where we've been
Why must we both go dancing again?
Come join the dancing, come join the waltz
Don't look too closely at my faults
Why can't I die here in your arms?
Safe from the night and safe from the dawn
Back to the nowhere from where I came
Don't worry of me, I know what I am
Where I'm goin' and where I've been
I'm not afraid!
I'm not afraid!
No, I'm not afraid!",,,I'm Not Afraid by Frank Sinatra,False,https://images.genius.com/a6e577637ae0fa21d4925827d8e90271.300x298x1.jpg,https://images.genius.com/a6e577637ae0fa21d4925827d8e90271.500x496x1.jpg,complete,https://images.genius.com/a6e577637ae0fa21d4925827d8e90271.300x298x1.jpg,https://images.genius.com/a6e577637ae0fa21d4925827d8e90271.500x496x1.jpg,I’m Not Afraid,I'm Not Afraid,[],Frank Sinatra,824
"I had you on my mind
Way we met it all happened so fast
It was love in your eyes
When we touched there was love, so let's make it last

If love is real
The way I feel, yeah
And there ain't no doubt about it, I'm in love

There just ain't no doubt about it, I'm in love

I woke up late last night
Visions of you real they seem
Needed you by my side
Now with you in my life I can live in this dream

If love is real
The way I feel

And there ain't no doubt about it, I'm in love
There just ain't no doubt about it, I'm in love
 I'm in love, yeah...hey...yeah...



I'm in love, love, love, yeah, yeah, yeah
 Baby
And there ain't no doubt about it, I'm in love
There just ain't no doubt about it, I'm in love

I'm in love, ah
I'm in love, ooh
 Ooh
And there ain't no doubt about it, I'm in love
Way I feel about you, there ain't no doubt about it
No, no, I'm in love",,,I'm In Love by Frank Sinatra,False,https://images.genius.com/5f746dbf6c41747811e11452bfabb552.300x300x1.jpg,https://images.genius.com/5f746dbf6c41747811e11452bfabb552.490x490x1.jpg,complete,https://images.genius.com/5f746dbf6c41747811e11452bfabb552.300x300x1.jpg,https://images.genius.com/5f746dbf6c41747811e11452bfabb552.490x490x1.jpg,I’m In Love,I'm In Love,[],Frank Sinatra,824
"Writer(s): B. Lane/ E.Y. Harburg
I look at you and suddenly
Something in your eyes I see;
Soon begins bewitching me
It's that old devil moon;
That you stole from the skies
It's that old devil moon in your eyes
You and you glance;
Make this romance;
Too hot to handle
Stars in the night;
Blazing their light;
Can't hold a candle;
To your razzle-dazzle
You've got me flyin' high and wide;
On a magic carpet ride;
Full of butterflies inside
Wanna cry, wanna croon
Wanna laugh like a loon
It's that old devil moon in your eyes
Just when I think, I'm;
Free as a dove
Old devil moon
Deep in your eyes
Blinds me with love",,,Old Devil Moon by Frank Sinatra,False,https://images.genius.com/0a6f3a767513140a07121efd18285b57.300x300x1.jpg,https://images.genius.com/0a6f3a767513140a07121efd18285b57.1000x1000x1.jpg,complete,https://images.genius.com/0a6f3a767513140a07121efd18285b57.300x300x1.jpg,https://images.genius.com/0a6f3a767513140a07121efd18285b57.1000x1000x1.jpg,Old Devil Moon,Old Devil Moon,[],Frank Sinatra,824
"Someone said, drink the water, but I will drink the wine
Someone said, take a poor man, rich don't have a dime
So fool yourselves if you will, I just haven't got the time
If you can drink the water, I will drink the wine
Someone gave me some small flowers, I held them in my hand
I looked at them for several hours, I didn't understand
So fool yourselves if you will, you can hold out your hand
I'll give back your flowers, and I will take the land
And I will drink the wine
Sometimes I'm very very lonely, there's only me to care
And when I'm very very lonely, I want someone to share
I'm going to drink the wine, I'm gonna take my time
And believe in a world that is mine
Someone gave me flowers, held them in my hand
Looked at them for many hours, didn't understand
Go on and fool yourselves if you will, you can hold out your hand
I'll give back your flowers, and I will take the land
And I will drink the wine, and I will take the l",,,I Will Drink The Wine by Frank Sinatra,False,https://images.genius.com/5f746dbf6c41747811e11452bfabb552.300x300x1.jpg,https://images.genius.com/5f746dbf6c41747811e11452bfabb552.490x490x1.jpg,complete,https://images.genius.com/5f746dbf6c41747811e11452bfabb552.300x300x1.jpg,https://images.genius.com/5f746dbf6c41747811e11452bfabb552.490x490x1.jpg,I Will Drink The Wine,I Will Drink The Wine,[],Frank Sinatra,824
"Writer(s): Getzov/Frank
You don't laugh anymore, when we're alone
You don't talk quite as long, when we're on the phone
You say that you, still love me so
But I can read between the lines
You don't hear half the things, that I say to you
You don't hold me as close, as you used to do
You say that you, won't let me go
But I can read between the lines
Your love for me is over
It isn't hard to tell
In every single thing you do
You say it all too well
And the glow in your eyes, is there no more
When you speak of the plans, that you have in store
It's time my dear, that I let you know
That I can read between the lines",,,I Can Read Between The Lines by Frank Sinatra,False,https://images.genius.com/7eb70a544ecfd37e040db7f1ced9a8b0.300x299x1.jpg,https://images.genius.com/7eb70a544ecfd37e040db7f1ced9a8b0.1000x995x1.jpg,complete,https://images.genius.com/7eb70a544ecfd37e040db7f1ced9a8b0.300x299x1.jpg,https://images.genius.com/7eb70a544ecfd37e040db7f1ced9a8b0.1000x995x1.jpg,I Can Read Between The Lines,I Can Read Between The Lines,[],Frank Sinatra,824
"My baby don't care for shows
My baby don't care for clothes
My baby just cares for me
My baby don't care for furs and laces
My baby don't care for high toned places
My baby don't care for rings
Or other expensive things
She's sensible as can be
My baby don't care who knows it
My baby just cares for me",1966-05-30,"May 30, 1966",My Baby Just Cares For Me by Frank Sinatra,False,https://images.genius.com/38014d5baa23f8fa3b2a39ac1067daa8.300x300x1.jpg,https://images.genius.com/38014d5baa23f8fa3b2a39ac1067daa8.500x500x1.jpg,complete,https://images.genius.com/38014d5baa23f8fa3b2a39ac1067daa8.300x300x1.jpg,https://images.genius.com/38014d5baa23f8fa3b2a39ac1067daa8.500x500x1.jpg,My Baby Just Cares For Me,My Baby Just Cares For Me,[],Frank Sinatra,824
"Look down, look down that lonesome road
Before you travel on
Look up, look up and seek your maker
Before Gabriel blows his horn
Weary totin' such a load
Trudgin' down the lonesome road
Look down, look down that lonesome road
Before, before you travel on
True love, true love, what have I done
That you should treat me so?
You caused me to walk and talk
Like I never did before
Weary totin' such a load
Trudgin' down that lonesome road
Look down, look down that lonesome road
Before you travel on
Look down, look down that lonesome road
Before you travel on
Look up, look up and seek your maker
Before Mr. Gabriel blows his horn
I'm weary of totin' such a heavy load
Trudgin' down that lonesome road
Look down, look down that lonesome road
Before, before you travel on
Look down, look down that lonesome road
Before you travel on
Look down, look down that lonesome road
Before you decide to travel on
Look down, look down, look down, look down that lonesome road
Before you travel on",,,The Lonesome Road by Frank Sinatra,False,https://images.genius.com/4d65f97980c2ef96c62091d63251c0c6.300x300x1.jpg,https://images.genius.com/4d65f97980c2ef96c62091d63251c0c6.640x640x1.jpg,complete,https://images.genius.com/4d65f97980c2ef96c62091d63251c0c6.300x300x1.jpg,https://images.genius.com/4d65f97980c2ef96c62091d63251c0c6.640x640x1.jpg,The Lonesome Road,The Lonesome Road,[],Frank Sinatra,824
"Verse 1:
The summer smiles, the summer knows, and unashamed, she sheds her clothes
The summer smoothes the restless sky
And lovingly she warms the sand on which you lie
The summer knows, the summer's wise, she sees the doubts within your eyes
And so she takes her summertime, tells the moon to wait and the sun to linger
Twist the world around her summer finger
Lets you see the wonder of it all
And if you learned your lesson well
There's little more for her to tell
One last caress, it's time to dress for fall",,,The Summer Knows by Frank Sinatra,False,https://images.genius.com/35fc5e4b8be1050418b68b6546180fc4.300x300x1.jpg,https://images.genius.com/35fc5e4b8be1050418b68b6546180fc4.350x350x1.jpg,complete,https://images.genius.com/35fc5e4b8be1050418b68b6546180fc4.300x300x1.jpg,https://images.genius.com/35fc5e4b8be1050418b68b6546180fc4.350x350x1.jpg,The Summer Knows,The Summer Knows,[],Frank Sinatra,824
"Betty the taxi driver: First we see the sights, then let's come to my place
Frank: Oh no, then we will have to go looking for Davey's girl
Betty: No, then up to my place. Where do you want to go first?
Frank: Well, my grandpa told me, Chip my boy, there'll come a time when you
Leave home, and if you should ever see New York, be sure to see the
Hippodrome
Betty: The Hippodrome!
Frank: Yeah, the Hippodrome
Betty: Did I hear right? Did you say the Hippodrome?
Frank Yes, you heard me right, yes, I said the Hippo
Betty: (applies the brakes)
Frank: Hey what did you stop for?
Betty: It ain't there any more. They tore it down you know a dozen years
Ago
Frank: Oh, I wanted to see that Hippodrome
Betty: Hey, what year is that guide book anyway?
Frank: Oh, 1905
Betty: 19 hundred and 5, no wonder. Don't you realize that a big city like
This changes all the time? But there's one thing that doesn't change, kid
Come up to my place
Frank: No. My grandpa saw the girly show that will hold me hot and curly
And told me the hottest show in town is of the Floradora Girl
Betty: Floradora Girl!
Frank:Yes, the Floradora Girl
Betty:Did I dig right, was that the Floradora Girl
Frank: Yes. You dug right, that was, that was the Flora..what stop for did
You hey?
Betty: You may not feel that way. That girly show folded up forty years
Ago. Come up to my place
Frank: No. My grandpa said I've seen New York in all its beauty and its
Power from the city's highest spot, the famous Woolworth Tower
Betty: Woolworth Tower!
Frank: Yes, the Woolworth Tower
Betty: Hold up, Bozo, did you say the Woolworth Tower?
Frank: Yes I said the Woolworth Tower.. What'd you stop for hey what?
Betty: It ain't the highest spot, not since the date they built the Empire
State. Let's go to my place
Frank, (Betty): Let's go to Cleopatra's Needle. (Let's go to my place)
Let's see Wanamaker's store (Let's go to my place)
Let's go to Lindy's, go to Lucha's (go to my place)
Let's see Radio City and Harold's Square (go to my place)
Go to Rueben's (go to my place), go to Macy's (go to my place)
Go to Roxy's (go to my place), Gimbel's (my place)
Madison Square (My place), (Hippodrome!) (My place!)
Betty: Well, this it, my place",,,Come Up To My Place by Frank Sinatra,False,https://images.genius.com/5f746dbf6c41747811e11452bfabb552.300x300x1.jpg,https://images.genius.com/5f746dbf6c41747811e11452bfabb552.490x490x1.jpg,complete,https://images.genius.com/5f746dbf6c41747811e11452bfabb552.300x300x1.jpg,https://images.genius.com/5f746dbf6c41747811e11452bfabb552.490x490x1.jpg,Come Up To My Place,Come Up To My Place,[],Frank Sinatra,824
