,group,mean,std,var,ci_ub,ci_lb
0,acousticness,0.1795679117143178,0.2566439892627209,0.0658661372246836,0.4362119009770387,0.0
1,danceability,0.6311234509752064,0.13799164398961702,0.019041693810957206,0.7691150949648234,0.49313180698558934
2,energy,0.6673940141197336,0.16989226286163628,0.028863380980247315,0.8372862769813699,0.49750175125809737
3,loudness,0.21918469663774734,0.06025275438470986,0.0036303944109441736,0.2794374510224572,0.15893194225303747
4,tempo,0.5790536801054571,0.14197682399392947,0.020157418551403225,0.7210305040993865,0.43707685611152763
5,valence,0.4592740756780163,0.22790157763589386,0.05193912908892935,0.6871756533139102,0.23137249804212245
