,group,mean,std,var,ci_ub,ci_lb
0,acousticness,0.7446832896110841,0.17974308141203302,0.032307575315492734,0.9244263710231171,0.5649402081990511
1,danceability,0.4267597302732757,0.15525271248168523,0.02410340473292082,0.5820124427549609,0.2715070177915905
2,energy,0.3647027703583274,0.2050575222190494,0.042048587418615946,0.5697602925773768,0.15964524813927797
3,loudness,0.46050984493702496,0.14237693075865854,0.020271190412255845,0.6028867756956835,0.3181329141783664
4,tempo,0.5352576793462691,0.150714136616716,0.022714750976122137,0.6859718159629851,0.3845435427295531
5,valence,0.4345988116765695,0.21123694639266097,0.04462104752129593,0.6458357580692304,0.22336186528390853
