,group,mean,std,var,ci_ub,ci_lb
0,acousticness,0.1741611665922212,0.18774412116892228,0.035247855033490975,0.3619052877611435,0.0
1,danceability,0.7325757719956089,0.1267870371856326,0.016074952798310987,0.8593628091812415,0.6057887348099762
2,energy,0.8038308305876833,0.1469520273036311,0.02159489832864714,0.9507828578913144,0.6568788032840522
3,loudness,0.16759349714923916,0.10561847087831562,0.011155261390673604,0.27321196802755476,0.061975026270923536
4,tempo,0.5565499237466799,0.1657459617068953,0.027471723822143596,0.7222958854535751,0.3908039620397846
5,valence,0.5542289787605471,0.1925316480452551,0.03706843549902199,0.7467606268058022,0.361697330715292
