,group,mean,std,var,ci_ub,ci_lb
0,acousticness,0.2491762043961884,0.23959289518538215,0.057404755423313525,0.48876909958157055,0.009583309210806246
1,danceability,0.723728913184036,0.187594790062914,0.03519180525874877,0.91132370324695,0.536134123121122
2,energy,0.6901767545631139,0.21408949559611984,0.04583431212460102,0.9042662501592338,0.47608725896699405
3,loudness,0.26492320433622324,0.12985429913209476,0.016862139003087542,0.39477750346831797,0.13506890520412848
4,tempo,0.5475562736511828,0.10518017370458708,0.011062868940527113,0.6527364473557699,0.44237609994659566
5,valence,0.6145148247978436,0.2626080992570719,0.06896301379541211,0.8771229240549154,0.3519067255407717
