,group,Love The Way You Lie,Love The Way You Lie (Part II) - Pt. 2,The Monster,Numb
0,acousticness,0.24245472837022133,0.2987927565392354,0.0528169014084507,0.014084507042253521
1,danceability,0.7777777777777779,0.490134994807892,0.8110072689511941,0.7445482866043615
2,energy,0.9429153924566769,0.8491335372069316,0.8695208970438328,0.7104994903160041
3,loudness,0.18416758250907517,0.16591734105971298,0.13907483265061446,0.20871215905684884
4,tempo,0.41573393486967236,0.7946349203314822,0.5259412546238328,0.6167117500310646
5,valence,0.6540816326530612,0.42142857142857143,0.636734693877551,0.38673469387755105
