name_track,duration_ms,explicit,artists_track,artists_track_uri,featuring,track_number,disc_number,name_album,artist,total_tracks,uri_track,uri_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,clean_title,lyrics,lyrics_state,all_artists,first_artist
"My Way - Live At The Spectrum, Philadelphia, Pennsylvania / October 7, 1974",237760,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,16,2,Standing Room Only,Frank Sinatra,57,spotify:track:1NKmuWt1U1RssA8gXgUYqS,spotify:album:07DrDjDuFyuEuOhKR3c6HU,0.312,0.515,1,-6.966,1,0.0503,0.7070000000000001,0.0,0.264,0.379,163.789,4,my_way,"And now, the end is near
And so I face the final curtain
My friend, I'll say it clear
I'll state my case, of which I'm certain
I've lived a life that's full
I traveled each and every highway
And more, much more than this
I did it my way

Regrets, I've had a few
But then again, too few to mention
I did what I had to do
And saw it through without exemption
I planned each charted course
Each careful step along the byway
And more, much more than this
I did it my way

Yes, there were times, I'm sure you knew
When I bit off more than I could chew
But through it all, when there was doubt
I ate it up and spit it out
I faced it all, and I stood tall
And did it my way

I've loved, I've laughed and cried
I've had my fill, my share of losing
And now, as tears subside
I find it all so amusing
To think I did all that
And may I say, not in a shy way
Oh, no, oh, no, not me
I did it my way

For what is a man, what has he got?
If not himself, then he has naught
To say the things he truly feels
And not the words of one who kneels
The record shows I took the blows
And did it my way

Yes, it was my way",complete,Frank Sinatra,Frank Sinatra
"Bows: My Way - Live At The Spectrum, Philadelphia, Pennsylvania / October 7, 1974",105546,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,17,2,Standing Room Only,Frank Sinatra,57,spotify:track:0mvcIHRpXrHUPdPGiO8s3c,spotify:album:07DrDjDuFyuEuOhKR3c6HU,0.448,0.917,10,-6.1110000000000015,1,0.0352,0.461,0.0213,0.3720000000000001,0.485,111.966,4,bows_my_way,<Instrumental>,,Frank Sinatra,Frank Sinatra
"You Are The Sunshine Of My Life - Live At Reunion Arena, Dallas, Texas, October 24, 1987",144960,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,2,3,Standing Room Only,Frank Sinatra,57,spotify:track:4W1tPPAyoLgosid0WCPnB9,spotify:album:07DrDjDuFyuEuOhKR3c6HU,0.561,0.687,6,-6.357,1,0.0539,0.7979999999999999,2.76e-06,0.7390000000000001,0.706,81.994,4,you_are_the_sunshine_of_my_life,"Writer(s): Stevie Wonder
You are the sunshine of my life
That's why I'll always be around
You are the apple of my eye
Forever you'll stay (be) in my heart
I know that this is the beginning
Though I loved you for one million years
But if I thought our love was ending
I'd find myself drowning in my own tears
You are the sunshine of my life
That's why I'll always be around
You are the apple of my eye
Forever you'll stay (be) in my heart
You must have known that I was lonely
Because you came to my rescue
And though I know that this is heaven
How could so much love be inside of you
You are the sunshine of my life
That's why I'll always be around
You are the apple of my eye
Forever you'll stay (be) in my heart
('Cause you are)
You are the sunshine - of my life
(Of my life, of my life)
(Light my fire baby, light my fire,...)",complete,Frank Sinatra,Frank Sinatra
"What Now My Love - Live At Reunion Arena, Dallas, Texas, October 24, 1987",151440,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,3,3,Standing Room Only,Frank Sinatra,57,spotify:track:2JZen4xvg6IgaCi4iyNodR,spotify:album:07DrDjDuFyuEuOhKR3c6HU,0.436,0.841,7,-7.0939999999999985,0,0.447,0.742,0.0,0.984,0.476,130.055,4,what_now_my_love,"What now my love, now that you've left me
How can I live through another day
Watching my dreams turn to ashes
And my hopes turn to bits of clay
Once I could see, once I could feel
Now I am numb, I've become unreal
I walk the night, without a goal
Stripped of my heart and my soul
What now my love, now that it's over
I feel the world falling all around me
Here come the stars, tumbling around me
There's the sky, where that sea should be
What now my love, now that you're gone
I'd be a fool to go on and on
No one would care, no one would cry
If I should live if I should live or die
What now my love, now there is nothing
Only my last, my last good-bye",complete,Frank Sinatra,Frank Sinatra
"My Heart Stood Still - Live At Reunion Arena, Dallas, Texas, October 24, 1987",199720,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,4,3,Standing Room Only,Frank Sinatra,57,spotify:track:5qE48QCi4ueYyxL7XePIma,spotify:album:07DrDjDuFyuEuOhKR3c6HU,0.243,0.29100000000000004,8,-12.034,1,0.102,0.919,1.85e-05,0.887,0.257,63.405,3,my_heart_stood_still,"Writer(s): Rodgers/Hart
I laughed at sweethearts
I met at schools
All indiscreet hearts
Seemed romantic fools
A house in Iceland
Was my heart's domain
I saw your eyes
Now castles rise in Spain!
I took one look at you
That's all I meant to do
And then my heart stood still
My feet could step and walk
My lips could move and talk
And yet my heart stood still
Though not a single word was spoken
I could tell you knew
That unfelt clasp of hands
Told me so well you knew
I never lived at all
Until the thrill of that moment when
My heart stood still
Through all my school days
I hated boys
Those April Fool days
Brought me loveless joys
I read my Plato
Love, I thought a sin
But since your kiss
I'm reading Missus Glyn!",complete,Frank Sinatra,Frank Sinatra
"Moonlight In Vermont - Live At Reunion Arena, Dallas, Texas, October 24, 1987",235520,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,5,3,Standing Room Only,Frank Sinatra,57,spotify:track:1IxBY0kVomzjySMiV3BlF6,spotify:album:07DrDjDuFyuEuOhKR3c6HU,0.333,0.28600000000000003,1,-13.911,1,0.0569,0.722,4.11e-05,0.799,0.294,122.74,3,moonlight_in_vermont,"Pennies in a stream
Falling leaves a sycamore
Moonlight in Vermont
Icy finger waves
Ski trails on a mountain side
Snowlight in Vermont
Telegraph cables, they sing down the highway
And travel each bend in the road
People who meet in this romantic setting
Are so hypnotized by the lovely
Evening summer breeze
Warbling of the meadowlark
Moonlight in Vermont
Telegraph cables, they sing down the highway
And travel each bend in the road
People who meet in this romantic setting
Are so hypnotized by the lovely
Evening summer breeze
The warbling of a meadowlark
Moonlight in Vermont
Moonlight in Vermont
Moonlight in Vermont",complete,Frank Sinatra,Frank Sinatra
"Summer Wind - Live At Reunion Arena, Dallas, Texas, October 24, 1987",183360,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,6,3,Standing Room Only,Frank Sinatra,57,spotify:track:4EuYn277gz98XYPuBmVK34,spotify:album:07DrDjDuFyuEuOhKR3c6HU,0.484,0.532,8,-8.783999999999999,1,0.16699999999999998,0.735,0.0,0.725,0.583,95.641,4,summer_wind,"The summer wind, came blowin' in from across the sea
It lingered there, to touch your hair and walk with me
All summer long, we sang a song
And then we strolled that golden sand
Two sweethearts, and the summer wind
Like painted kites, those days and nights they went flyin' by
The world was new, beneath a blue umbrella sky
Then softer than, a piper man, one day it called to you
I lost you, I lost you to the summer wind
The autumn wind, and the winter winds
They have come and gone
And still the days, those lonely days they go on and on
And guess who sighs his lullabies
Through nights that never end
My fickle friend, the summer wind
The summer wind, warm summer wind, the summer wind",complete,Frank Sinatra,Frank Sinatra
"You Will Be My Music - Live At Reunion Arena, Dallas, Texas, October 24, 1987",297040,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,7,3,Standing Room Only,Frank Sinatra,57,spotify:track:3LXlUIcOBFHa20Qv2ki688,spotify:album:07DrDjDuFyuEuOhKR3c6HU,0.434,0.306,3,-10.892,1,0.0621,0.785,0.0,0.804,0.34700000000000003,77.817,4,you_will_be_my_music,"Writer(s): Raposo
When all the songs are out of tune
And all the rhythms ring so untrue
When I don't find the words to say
The thoughts I bring to you
When I hear lonely singers
Who are just as lost as me
Making noise, not melody
You will be my music
You will be my song
You will be my music
I can't wait any longer if I'm wrong
I'll never find the song to tell me
All the things I need to say
And I'm afraid as time goes by
That someday soon you'll go away
And I'll be lost and trying
For songs I'll never sing
Wanting you is ev'rything
You will be my music
You will be my song
You will be my music
I can't wait any longer if I'm wrong
I can't wait any longer for my song",complete,Frank Sinatra,Frank Sinatra
"More Than You Know - Live At Reunion Arena, Dallas, Texas, October 24, 1987",204853,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,8,3,Standing Room Only,Frank Sinatra,57,spotify:track:4Hz7pfWmprrN8Q4AZoVGzt,spotify:album:07DrDjDuFyuEuOhKR3c6HU,0.42,0.252,9,-14.182,1,0.0618,0.935,1.53e-05,0.985,0.406,110.617,4,more_than_you_know,"Writer(s): Rose/Eliscu/Youmans
Whether you are here or yonder
Whether you are false or true
Whether you remain or wander
I am growing fonder of you
Even though your friends forsake you
Even though you don't succeed
Wouldn't I be glad to take you
Give you the break you need
More than you know, more than you know
Girl of my heart, I love you so
Lately I find, you're on my mind
More than you know
Whether you're right, whether you're wrong
Girl of my heart, I'll string along
I need you so
Much more than you'll ever know
Loving you the way that I do
There's nothing I can do about it
Loving may be all you can give
But baby I can't live without it
Oh how I'd cry, oh how I'd cry
If you got tired, and said good-bye
More than I'd show
More than you'd ever know",complete,Frank Sinatra,Frank Sinatra
"Mack The Knife - Live At Reunion Arena, Dallas, Texas, October 24, 1987",272240,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,9,3,Standing Room Only,Frank Sinatra,57,spotify:track:1r6I1k5yxdyEcBJBJmSsot,spotify:album:07DrDjDuFyuEuOhKR3c6HU,0.422,0.7709999999999999,7,-6.409,1,0.504,0.57,0.0,0.964,0.5870000000000001,166.13099999999997,4,mack_the_knife,"FRANK:
Hey, the shark has pretty teeth, dear
And it shows them pearly white
Just a jackknife has Mac Heath, dear
And he keeps it, way out of sight
When that shark bites with his teeth, dear
Scarlet billows they begin to spread
Fancy white gloves, has Mac Heath, dear
So there's never, never a trace of red
On the sidewalk, one Sunday morning
Lies a body, oozing' life
Someone's sneaking', 'round that corner
Could that someone perhaps per chance be Mack the Knife?
From the tugboat, on a river going slow
A cement bag's dropping down
You know, that cement is for the weight, dear
You can make a large bet that bums in town
JIMMY:
(Yeah he's in town)
FRANK:
My man Louie Miller
He split the scene babe
After drawing' out all the bread from his stash
Now Mac Heath spends like a sailor
Do you suppose this guy he did something rash?
Old Satchmo, Louie Armstrong, Bobby Daron
They did this song nice, Lady Ella too
They all sang it, with so much feeling
That old blue eyes here ain't gonna add anything new
JIMMY:
(oh yes you do)
FRANK:
But with this big, fat, band jumping behind me
Swinging hard Jack
JIMMY:
(That's Jimmy)
FRANK:
I know I can't loose, When I tell you
All about Mack the Knife, babe
It's an offer you can never refuse
We've got Patrick William
Bill Miller playin' that piano
And this wonderful, great, big, band
Bringin' up the rear
All these bad cats, in this bad town
They make the greatest sound you ever gonna hear
Oh Sukey Tawdry
JIMMY:
(Oh Sukey Tawdry)
FRANK:
Jenny Diver
JIMMY:
(Jenny Diver)
FRANK:
Polly Peaches
JIMMY:
(I know her well)
FRANK:
Ms Lulu Brown
Yeah, the line forms on the right, dear
Now that Mack he
JIMMY:
(Oh Mack he)
FRANK:
Yeah that bum is back
JIMMY:
(Oh that bum he's back)
FRANK:
And I'm gonna tell you
What I think that you should know
JIMMY:
(What should I do)
FRANK:
You better lock your door
And call the law
Because Mack he
He's come back to town
Get under the bed hide
JIMMY:
(Look out old Mack is back)",complete,Frank Sinatra,Frank Sinatra
