,group,mean,std,var,ci_ub,ci_lb
0,acousticness,0.41954891343251816,0.3239764734155932,0.10496075532680459,0.7435253868481113,0.09557244001692494
1,danceability,0.5609695762441089,0.1672251764552849,0.027964259640501168,0.7281947526993938,0.39374439978882403
2,energy,0.5112267701717242,0.2178408368192093,0.04745463018609337,0.7290676069909335,0.29338593335251495
3,loudness,0.38465869499501726,0.1286898710967143,0.016561082922888937,0.5133485660917315,0.255968823898303
4,tempo,0.5738299295331941,0.14586172874235898,0.02127564391170951,0.719691658275553,0.42796820079083514
5,valence,0.6208695545525905,0.2659659610542819,0.07073789243952779,0.8868355156068723,0.35490359349830863
