group,Frank Sinatra,Eminem,Michael Jackson,Rihanna,The Beatles
Danceability,0.4701604190872219,0.5228268119164072,0.6575945217454658,0.5204578383077372,0.5903974884405214
Energy,0.36278066344237087,0.7722808577691457,0.6787818603111555,0.6657870211409227,0.5113040576400394
Loudness,0.6630078535618201,0.8018002319287687,0.7161069710443387,0.5679682731170297,0.676169904167235
Acousticness,0.7062675808720111,0.20862466579014985,0.2568645851897127,0.2140581207324479,0.42595192633785045
Valence,0.4557292419518039,0.5582935282552091,0.6028540363130754,0.4066644598503627,0.6208695545525905
Tempo,0.4415875350274173,0.504237453439473,0.3269627788036804,0.4316890343742186,0.573829929533194
